id,time_d_matrix,time_clust,time_total,N3_easycategs_ml_1,N3_easycategs_ml_100,N3_random_ml_1,N3_random_ml_100,N3_1,N3_100,N2,CI,CI_categs_constr,cluster,categs_constr_count,elem_qtt
hierarq_ward_categs_constr_False-node2vec_32d_P3-graph_categ_variant_edge1,31.18709087,34.26040816,172.423346,0.00445950767,0.08197288619,0.7761083287,0.7830124281,0.01216086049,0.1657477123,0.3078880972,0.9563463298,0.8839203239,2,1247,7754
hierarq_ward_categs_constr_False-node2vec_32d_P3-graph_categ_variant_edge1,31.18709087,34.26040816,172.423346,0.00445950767,0.08197288619,0.7761083287,0.7830124281,0.01216086049,0.1657477123,0.3078880972,0.9563463298,0.8839203239,3,2191,2282
hierarq_ward_categs_constr_False-node2vec_32d_P3-graph_categ_variant_edge1,31.18709087,34.26040816,172.423346,0.00445950767,0.08197288619,0.7761083287,0.7830124281,0.01216086049,0.1657477123,0.3078880972,0.9563463298,0.8839203239,4,1366,6041
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_attrib_variant_edge1-5nn_variants_edge_qtt_traces_1overdist,29.43572283,21.77849412,159.5082488,0.0235462005,0.04642169105,0.77573734,0.7837970692,0.01464922138,0.07049927757,0.3662998617,0.8721895568,0.5675857812,0,193,3815
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_attrib_variant_edge1-5nn_variants_edge_qtt_traces_1overdist,29.43572283,21.77849412,159.5082488,0.0235462005,0.04642169105,0.77573734,0.7837970692,0.01464922138,0.07049927757,0.3662998617,0.8721895568,0.5675857812,1,82,3285
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_attrib_variant_edge1-5nn_variants_edge_qtt_traces_1overdist,29.43572283,21.77849412,159.5082488,0.0235462005,0.04642169105,0.77573734,0.7837970692,0.01464922138,0.07049927757,0.3662998617,0.8721895568,0.5675857812,2,46,2583
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_attrib_variant_edge1-5nn_variants_edge_qtt_traces_1overdist,29.43572283,21.77849412,159.5082488,0.0235462005,0.04642169105,0.77573734,0.7837970692,0.01464922138,0.07049927757,0.3662998617,0.8721895568,0.5675857812,3,3076,3185
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_attrib_variant_edge1-5nn_variants_edge_qtt_traces_1overdist,29.43572283,21.77849412,159.5082488,0.0235462005,0.04642169105,0.77573734,0.7837970692,0.01464922138,0.07049927757,0.3662998617,0.8721895568,0.5675857812,4,2209,12048
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_act_attrib-categconstr_expnode2categs_edge_qtt_traces,28.88248491,25.9592309,166.1240749,0.004994648591,0.0286068498,0.7846410684,0.7821164904,0.0004013485311,0.01589380318,0.3624507504,0.7635154382,0.6114449988,0,3153,3153
hierarq_ward_categs_constr_False-node2vec_32d_P3.0-graph_act_attrib-categconstr_expnode2categs_edge_qtt_traces,28.88248491,25.9592309,166.1240749,0.004994648591,0.0286068498,0.7846410684,0.7821164904,0.0004013485311,0.01589380318,0.3624507504,0.7635154382,0.6114449988,1,0,3250
